Genesis	01	002_GEN
Exodus	02	003_EXO
Leviticus	03	004_LEV
Numbers	04	005_NUM
Deuteronomy	05	006_DEU
Joshua	06	007_JOS
Judges	07	008_JDG
Ruth	08	009_RUT
1 Samuel	09	010_1SA
2 Samuel	10	011_2SA
1 Kings	11	012_1KI
2 Kings	12	013_2KI
1 Chronicles	13	014_1CH
2 Chronicles	14	015_2CH
Ezra	15	016_EZR
Nehemiah	16	017_NEH
Esther	17	018_EST
Job	18	019_JOB
Psalms	19	020_PSA
Proverbs	20	021_PRO
Ecclesiastes	21	022_ECC
Song of Solomon	22	023_SNG
Isaiah	23	024_ISA
Jeremiah	24	025_JER
Lamentations	25	026_LAM
Ezekiel	26	027_EZK
Daniel	27	028_DAN
Hosea	28	029_HOS
Joel	29	030_JOL
Amos	30	031_AMO
Obadiah	31	032_OBA
Jonah	32	033_JON
Micah	33	034_MIC
Nahum	34	035_NAM
Habakkuk	35	036_HAB
Zephaniah	36	037_ZEP
Haggai	37	038_HAG
Zechariah	38	039_ZEC
Malachi	39	040_MAL
Matthew	40	070_MAT
Mark	41	071_MRK
Luke	42	072_LUK
John	43	073_JHN
Acts	44	074_ACT
Romans	45	075_ROM
1 Corinthians	46	076_1CO
2 Corinthians	47	077_2CO
Galatians	48	078_GAL
Ephesians	49	079_EPH
Philippians	50	080_PHP
Colossians	51	081_COL
1 Thessalonians	52	082_1TH
2 Thessalonians	53	083_2TH
1 Timothy	54	084_1TI
2 Timothy	55	085_2TI
Titus	56	086_TIT
Philemon	57	087_PHM
Hebrews	58	088_HEB
James	59	089_JAS
1 Peter	60	090_1PE
2 Peter	61	091_2PE
1 John	62	092_1JN
2 John	63	093_2JN
3 John	64	094_3JN
Jude	65	095_JUD
Revelation	66	096_REV
Psalm 151	67	056_PS2
Wisdom of Solomon	68	045_WIS
Susanna	69	050_SUS
1 Maccabees	70	052_1MA
2 Maccabees	71	053_2MA
3 Maccabees	72	057_3MA
4 Maccabees	73	059_4MA
Sirach	74	046_SIR
Baruch	75	047_BAR
Tobit	76	041_TOB
Bel and the Dragon	77	051_BEL
Azariah	78	
Epistle of Jeremiah	79	048_LJE
Prayer of Manasseh	80	055_MAN
4 Ezra	81	
Judith	82	042_JDT
Additions to the Book of Esther	83	
1 Esdras	84	054_1ES
2 Esdras		058_2ES
Song-of-the-Three-Holy-Men		049_S3Y
Greek Daniel		066_DAG
Greek Esther		043_DAG
